folder,claim_id,source_file,status,falsifier_text,quantity,units,how_obtained,reference,maps_to,breaks_at,downgrade_reason,notes,batch
uninstrumented,UNI_045,uninstrumented/CLAIM_TABLE.md,MEASURED,the list turning out to have no evolutionary-language instances,count of evolutionary-language instances in the named list,count (refutes if 0),read the list and count evolutionary-language instances,,,,,named list,0
uninstrumented,UNI_046,uninstrumented/CLAIM_TABLE.md,MEASURED,the negative list surfacing in Kelemen's own work,presence of the negative list in Kelemen's own work,boolean present/absent,read Kelemen's published corpus,,,,,bounded named corpus,0
uninstrumented,UNI_047,uninstrumented/CLAIM_TABLE.md,UNKNOWN,a named critique of reference-population smuggling in human-origins narratives,,,,,,,open literature search; no checkable quantity named,,0
uninstrumented,UNI_048,uninstrumented/CLAIM_TABLE.md,MEASURED,a tagged question with an independent instrument,existence of a [stated by Kavik]-tagged question carrying an independent instrument,boolean present/absent,inspect the case's tagged questions,,,,,named artifact,0
uninstrumented,UNI_049,uninstrumented/CLAIM_TABLE.md,UNKNOWN,the device appearing without a withheld slot behind it,,,,,,,future-event/modification condition; no reading obtainable from existing named material,,0
uninstrumented,UNI_050,uninstrumented/CLAIM_TABLE.md,MEASURED,any stated detail failing to match,match of stated details against the source,boolean match per detail,read the source and compare,,,,,web-checked,0
uninstrumented,UNI_051,uninstrumented/CLAIM_TABLE.md,MEASURED,the five-category vocabulary post-dating the classification,date ordering of five-category vocabulary vs the classification,date ordering (boolean post-dates),date the vocabulary and the classification from sources,,,,,explicit temporal comparison,0
uninstrumented,UNI_052,uninstrumented/CLAIM_TABLE.md,MEASURED,classification numbers being produced by the standard assay,whether the standard assay (thioglycollate tube) produces classification numbers,boolean (assay returns category name vs number),inspect the standard assay's output,,,,,named assay,0
uninstrumented,UNI_053,uninstrumented/CLAIM_TABLE.md,MEASURED,"the paper not existing, or not carrying that phrase",existence of the paper and presence of the named phrase in its title/text,boolean per branch,locate the paper; check for the phrase,,,,,named source,0
uninstrumented,UNI_054,uninstrumented/CLAIM_TABLE.md,UNKNOWN,a pre-sensor study measuring growth across intermediate concentrations,,,,,,,open literature search; no checkable quantity named,,0
uninstrumented,UNI_055,uninstrumented/CLAIM_TABLE.md,SCOPE-DIFFERENT,the source paper's stated historical threshold,,,,"the source paper's stated threshold, which may be Prevotella-specific (species-level reference body)",the category-general historical low-end threshold the headline arithmetic needs (0.05% vs located 0.5%),if the located figure is species-specific it answers a different reference population than the category claim; comparison breaks on the reference-population mismatch,,recorded NOT LOCATED; claim text: 'a Prevotella-specific threshold... a different quantity from the category's general low end',0
uninstrumented,UNI_056,uninstrumented/CLAIM_TABLE.md,UNKNOWN,an instance where the category admitted the observation as evidence,,,,,,,counterexample/existence over an open search space; no checkable quantity with units named,,0
uninstrumented,UNI_057,uninstrumented/CLAIM_TABLE.md,MEASURED,"a dangling link, or an unsplit confidence",presence of a dangling link or an unsplit confidence in the entry,boolean per property,inspect the entry file,,,,,named artifact,0
uninstrumented,UNI_058,uninstrumented/CLAIM_TABLE.md,UNKNOWN,any re-delivered case differing from the landed copy,,,,,,,future-event/modification condition; no reading obtainable from existing named material,,0
uninstrumented,UNI_059,uninstrumented/CLAIM_TABLE.md,MEASURED,any stated element failing to match,match of stated elements against the source,boolean match per element,read the source and compare,,,,,web-checked,0
uninstrumented,UNI_060,uninstrumented/CLAIM_TABLE.md,MEASURED,either renaming four files or editing five references,number of files renamed / references edited to make links resolve,count (four files or five references),inspect repo filenames vs internal references,,,,,repair-as-falsifier; counts explicit,0
uninstrumented,UNI_061,uninstrumented/CLAIM_TABLE.md,MEASURED,a specimen file containing pasted output,presence of pasted (non-raw) output in a specimen file,boolean per specimen file,inspect specimen files,,,,,named artifact class,0
uninstrumented,UNI_062,uninstrumented/CLAIM_TABLE.md,MEASURED,the raw outputs arriving,presence of the raw model outputs behind the two named JSON logs,boolean present/absent,inspect the specimen attachments for raw outputs,,,,,arrival of named artifacts,0
uninstrumented,UNI_063,uninstrumented/CLAIM_TABLE.md,MEASURED,the protocol lacking a scoring rubric,presence of a scoring rubric in the protocol,boolean present/absent,read the protocol,,,,,named artifact,0
uninstrumented,UNI_064,uninstrumented/CLAIM_TABLE.md,MEASURED,a stated rule separating training regime from provider reputation,presence of a stated rule separating training regime from provider reputation,boolean present/absent,read the named source,,,,,named source,0
uninstrumented,UNI_065,uninstrumented/CLAIM_TABLE.md,UNKNOWN,the confound being discovered after a run rather than before,,,,,,,future-event/modification condition; no reading obtainable from existing named material,,0
uninstrumented,UNI_066,uninstrumented/CLAIM_TABLE.md,MEASURED,"the folder arriving, or the link being corrected","presence of the tool-off-metrology folder, or correction of the link",boolean present/absent,list repo tree / inspect citing files,,,,,named artifact,0
uninstrumented,UNI_067,uninstrumented/CLAIM_TABLE.md,UNKNOWN,the linguistic analogue turning out not to be constructible,,,,,,,counterexample/existence over an open search space; no checkable quantity with units named,,0
uninstrumented,UNI_068,uninstrumented/CLAIM_TABLE.md,MEASURED,either file differing,difference between the two named files,boolean differ/identical,diff the two files,,,,,named artifacts,0
uninstrumented,UNI_069,uninstrumented/CLAIM_TABLE.md,MEASURED,a within-frame repeat arm with a stated sampling regime and a declared margin,presence of a within-frame repeat arm with stated sampling regime and declared margin,boolean present/absent,inspect the 018 design,,,,,design element on named artifact,0
uninstrumented,UNI_070,uninstrumented/CLAIM_TABLE.md,MEASURED,"017 gaining the labels, or the citations being rewritten to the labels 017 has","presence of the labels in 017, or citations rewritten to 017's labels",boolean present/absent,inspect the 017 file and its citations,,,,,named artifacts,0
uninstrumented,UNI_071,uninstrumented/CLAIM_TABLE.md,MEASURED,a prior entry carrying the same self-placement,count of prior entries carrying the same self-placement,count of entries,scan register entries for the self-placement,,,,,named corpus (register),0
uninstrumented,UNI_072,uninstrumented/CLAIM_TABLE.md,UNKNOWN,a finding above turning out to rest on self-report rather than on a file,,,,,,,judgment-shaped predicate; no procedure or quantity named,,0
uninstrumented,UNI_073,uninstrumented/CLAIM_TABLE.md,MEASURED,a dated checkpoint inventory in the design,presence of a dated checkpoint inventory in the design,boolean present/absent,inspect the design file,,,,,named artifact,0
uninstrumented,UNI_074,uninstrumented/CLAIM_TABLE.md,UNKNOWN,a single protocol reaching both entry paths,,,,,,,counterexample/existence over an open search space; no checkable quantity with units named,,0
uninstrumented,UNI_075,uninstrumented/CLAIM_TABLE.md,UNKNOWN,"Q4 being runnable at Q1's cost, or the ordering being stated",,,,,,,cost comparability with no quantified cost,,0
uninstrumented,UNI_076,uninstrumented/CLAIM_TABLE.md,MEASURED,the harness landing,presence of the 016 harness in the repo,boolean present/absent,list repo tree,,,,,arrival of named artifact,0
uninstrumented,UNI_077,uninstrumented/CLAIM_TABLE.md,MEASURED,"a `repeats` argument, or a stated reason one query per frame suffices","presence of a repeats argument, or a stated one-query-per-frame reason, in the harness",boolean present/absent,inspect the harness code/docs,,,,,named artifact,0
uninstrumented,UNI_078,uninstrumented/CLAIM_TABLE.md,MEASURED,an opaque handle that does not encode the arm,opaqueness of the row handle (does not encode arm),boolean opaque/encoding,inspect sheet() output ids,,,,,named function; defect found on 48/48 rows,0
uninstrumented,UNI_079,uninstrumented/CLAIM_TABLE.md,MEASURED,"a cross-field rule, or a gate on `ack_present`",presence of a cross-field rule or a gate on ack_present,boolean present/absent,inspect the harness,,,,,named artifact,0
uninstrumented,UNI_080,uninstrumented/CLAIM_TABLE.md,MEASURED,a screen that can fail on an input the study would actually use,whether the screen can fail on an input the study would use,boolean from the screen,run the screen on a study-plausible input,,,,,named test,0
uninstrumented,UNI_081,uninstrumented/CLAIM_TABLE.md,MEASURED,a ratio rendering an absence as a zero,whether a ratio in the file renders an absence as a zero,boolean per ratio,inspect the file's ratio computations,,,,,named artifact,0
uninstrumented,UNI_082,uninstrumented/CLAIM_TABLE.md,MEASURED,the same refusal shape appearing on the frame axis,presence of the same refusal shape (a guard) on the frame axis,boolean present/absent,inspect harness for a per-frame guard,,,,,named artifact,0
uninstrumented,UNI_083,uninstrumented/CLAIM_TABLE.md,MEASURED,a code path that could classify response text,existence of a code path that could classify response text,boolean present/absent,inspect the harness code,,,,,named artifact,0
uninstrumented,UNI_084,uninstrumented/CLAIM_TABLE.md,MEASURED,the corpus arriving,presence of the dated criticism corpus the novel/det readout needs,boolean present/absent,check for the specified corpus (criticism corpus dated against training),,,,,"specification by property, not path",0
uninstrumented,UNI_085,uninstrumented/CLAIM_TABLE.md,UNKNOWN,a case where auditing first costs more than building,,,,,,,counterexample/existence over an open search space; no checkable quantity with units named,,0
uninstrumented,UNI_086,uninstrumented/CLAIM_TABLE.md,MEASURED,the source being read as agreeing on a full reading of the paper,whether the source agrees on a full reading of the paper,boolean agree/disagree,read the named paper in full,,,,,named source,0
uninstrumented,UNI_087,uninstrumented/CLAIM_TABLE.md,MEASURED,the fraction appearing in the paper or its supplement,presence of the fraction in the paper or its supplement,boolean present/absent,read the paper and supplement,,,,,named source,0
uninstrumented,UNI_088,uninstrumented/CLAIM_TABLE.md,MEASURED,batch size turning out not to move the corrected score,sensitivity of the corrected score to batch size,boolean/score delta under batch-size variation,vary batch size and recompute the corrected score,,,,,named computation,0
uninstrumented,UNI_089,uninstrumented/CLAIM_TABLE.md,MEASURED,"a censoring diagnostic, or a demonstration that clipping does not occur in practice","presence of a censoring diagnostic, or demonstration clipping does not occur",boolean present/absent,inspect the analysis / run the diagnostic,,,,,named artifact,0
uninstrumented,UNI_090,uninstrumented/CLAIM_TABLE.md,UNKNOWN,"a reader taking ""size of the problem"" as the naive-vs-corrected gap",,,,,,,future-event/modification condition; no reading obtainable from existing named material,,0
uninstrumented,UNI_091,uninstrumented/CLAIM_TABLE.md,MEASURED,a reported `permitted_leak` alongside `imbalance`,presence of reported permitted_leak alongside imbalance,boolean present/absent,inspect the report,,,,,named fields,0
uninstrumented,UNI_092,uninstrumented/CLAIM_TABLE.md,MEASURED,the exception being stated where the rule is,presence of the exception stated where the rule is,boolean present/absent,read the rule's location in the named doc,,,,,named artifact,0
uninstrumented,UNI_093,uninstrumented/CLAIM_TABLE.md,MEASURED,"either file arriving, or the 018 citations being corrected","presence of either named file, or corrected 018 citations",boolean present/absent,list repo / inspect citations,,,,,named artifacts,0
uninstrumented,UNI_094,uninstrumented/CLAIM_TABLE.md,MEASURED,a per-item depth marker,presence of a per-item depth marker,boolean present/absent,inspect the named artifact,,,,,schema property,0
uninstrumented,UNI_095,uninstrumented/CLAIM_TABLE.md,MEASURED,a marker that fits `entry()` without a field being faked,a marker fitting entry() with no field faked,boolean fits/faked,run the marker through entry() and check fields,,,,,named function,0
uninstrumented,UNI_096,uninstrumented/CLAIM_TABLE.md,UNKNOWN,a one-place term that preserves the pair,,,,,,,counterexample/existence over an open search space; no checkable quantity with units named,,0
uninstrumented,UNI_097,uninstrumented/CLAIM_TABLE.md,MEASURED,"the bottom row being filled, or a stated reason it cannot be","bottom row of the table filled, or a stated reason it cannot be",boolean present/absent,inspect the named table,,,,,named artifact,0
uninstrumented,UNI_098,uninstrumented/CLAIM_TABLE.md,MEASURED,"a stated ordering, or an ordinal replacing the comparison","presence of a stated ordering, or an ordinal replacing the comparison",boolean present/absent,inspect the named doc,,,,,named artifact,0
uninstrumented,UNI_099,uninstrumented/CLAIM_TABLE.md,UNKNOWN,"a counterexample, which would cost item 1 and not R2",,,,,,,counterexample/existence over an open search space; no checkable quantity with units named,,0
uninstrumented,UNI_100,uninstrumented/CLAIM_TABLE.md,MEASURED,R3 returning attributed strategy for non-language systems at the same rate,rate of attributed-strategy verdicts from probe R3 on non-language systems vs language systems,rate (proportion); refutes if equal,"run R3 on the named comparison population (scheduling, pricing, routing)",,,,,named probe with named comparison population,0
uninstrumented,UNI_101,uninstrumented/CLAIM_TABLE.md,UNKNOWN,a finding above turning out to rest on the thesis rather than on the file,,,,,,,judgment-shaped predicate; no procedure or quantity named,,0
uninstrumented,UNI_102,uninstrumented/CLAIM_TABLE.md,MEASURED,the concentration figure not being in the source,presence of the concentration figure in the source,boolean present/absent,read the source,,,,,named source,0
uninstrumented,UNI_103,uninstrumented/CLAIM_TABLE.md,MEASURED,a published post-instruction rate,post-instruction creature-word rate,"rate (words per output), instruction present vs removed","measure output rate with instruction present vs removed, or locate published rate",,,,,procedure stated in claim text,0
uninstrumented,UNI_104,uninstrumented/CLAIM_TABLE.md,MEASURED,"the folder arriving, or a fourth citation specific enough to specify it","presence of the energy_english folder, or a fourth citation specific enough to specify it",boolean present/absent,list repo tree / count specific citations,,,,,named artifact,0
uninstrumented,UNI_105,uninstrumented/CLAIM_TABLE.md,MEASURED,**HALF-CLOSED** — 4 of 8 arrived one drop later (`UNI_115`); `check_m1.py` still absent,"count of the eight named artifacts present (m1_shape_vs_claim/AUTHORING.md, 3 items.json, 3 harnesses, author-blind check)",count of 8,list playground/ for the eight named artifacts,,,,,HALF-CLOSED per table: 4 of 8 arrived (UNI_115),0
uninstrumented,UNI_106,uninstrumented/CLAIM_TABLE.md,MEASURED,"a stated n per arm, and an arm that should move the readout","stated n per arm, and presence of an arm that should move the readout",count n per arm; boolean arm presence,read M1's design,,,,,named module,0
uninstrumented,UNI_107,uninstrumented/CLAIM_TABLE.md,MEASURED,**HALF-CLOSED** — `leak_check()` now enforces the front-matter half mechanically (`UNI_117`); the general-knowledge half is still unverified,presence of a front-matter-only disqualification pass,boolean present/absent,inspect/run leak_check(),,,,,HALF-CLOSED: leak_check() now enforces front-matter half (UNI_117),0
uninstrumented,UNI_108,uninstrumented/CLAIM_TABLE.md,UNKNOWN,a probe set that stays unguessable after publication,,,,,,,unguessability property with no named check,,0
uninstrumented,UNI_109,uninstrumented/CLAIM_TABLE.md,UNKNOWN,the guard being dropped when the harness is written,,,,,,,future-event/modification condition; no reading obtainable from existing named material,,0
uninstrumented,UNI_110,uninstrumented/CLAIM_TABLE.md,MEASURED,a within-exchange arm,presence of a within-exchange arm in M3,boolean present/absent,inspect the M3 module,,,,,named module,0
uninstrumented,UNI_111,uninstrumented/CLAIM_TABLE.md,MEASURED,the occupancy check returning unoccupied,occupancy check verdict,verdict label (occupied/unoccupied) from the occupancy check,run the named occupancy check,,,,,named test,0
uninstrumented,UNI_112,uninstrumented/CLAIM_TABLE.md,MEASURED,**STANDS** — the rubric arrived and does not carry it (`UNI_122`),precedence stated in the rubric,boolean present/absent,read the delivered rubric,,,,,STANDS per table: rubric arrived without it (UNI_122),0
uninstrumented,UNI_113,uninstrumented/CLAIM_TABLE.md,MEASURED,a fourth hole A3 did not name,count of holes beyond A3's named three,count of holes,enumerate holes; compare against A3's three,,,,,bounded named reference,0
uninstrumented,UNI_114,uninstrumented/CLAIM_TABLE.md,MEASURED,a module whose selection has authored ground truth,presence of authored ground truth in a module's selection,boolean per module,inspect module selection code,,,,,named artifact class,0
uninstrumented,UNI_115,uninstrumented/CLAIM_TABLE.md,MEASURED,the remaining artifacts arriving,"count of remaining named artifacts present (items.json x3, check_m1.py)",count,list playground/,,,,,arrival of named artifacts,0
uninstrumented,UNI_116,uninstrumented/CLAIM_TABLE.md,MEASURED,"an opaque handle, and a stem-only sheet for M1",presence of an opaque handle and a stem-only sheet for M1,boolean per property,inspect M1/M3 scoring sheets,,,,,named artifacts,0
uninstrumented,UNI_117,uninstrumented/CLAIM_TABLE.md,MEASURED,M2's scoring path refusing,whether M2's scoring path refuses the disqualifying input,boolean refuse/accept,run M2's scoring path,,,,,named code path,0
uninstrumented,UNI_118,uninstrumented/CLAIM_TABLE.md,MEASURED,"a stated n, or an arm that should move the readout","stated n, or presence of an arm that should move the readout",count n; boolean arm presence,read the module design,,,,,named module,0
uninstrumented,UNI_119,uninstrumented/CLAIM_TABLE.md,UNKNOWN,a probe set that survives publication,,,,,,,unguessability property with no named check,,0
uninstrumented,UNI_120,uninstrumented/CLAIM_TABLE.md,UNKNOWN,the guard being narrowed or bypassed,,,,,,,future-event/modification condition; no reading obtainable from existing named material,,0
uninstrumented,UNI_121,uninstrumented/CLAIM_TABLE.md,MEASURED,the two cues turning out not to separate,separation of the two cues (attention vs affiliation) across M3 arms,boolean separate/confounded,"run M3 arms; if INSTITUTIONAL tracks HIGH while its numbers match LOW, attention is not the operative cue",,,,,reading stated in advance in the module,0
uninstrumented,UNI_122,uninstrumented/CLAIM_TABLE.md,MEASURED,the precedence being stated in the rubric,precedence stated in the rubric,boolean present/absent,read the rubric,,,,,named artifact,0
uninstrumented,UNI_123,uninstrumented/CLAIM_TABLE.md,MEASURED,the field and the gate,presence of the field and the gate for the mandatory human check,boolean present/absent,inspect AUTHORING.md tooling/schema,,,,,named artifact,0
uninstrumented,UNI_124,uninstrumented/CLAIM_TABLE.md,MEASURED,a crossed or balanced design,whether build() clause assignment is crossed or balanced,boolean crossed/balanced vs with-replacement,inspect build() / run across seeds,,,,,named function,0
uninstrumented,UNI_125,uninstrumented/CLAIM_TABLE.md,MEASURED,a marker that fits `entry()` without a field being faked,a marker fitting entry() with no field faked,boolean fits/faked,run the marker through entry(),,,,,duplicate shape of UNI_095 (021 marker),0
uninstrumented,UNI_126,uninstrumented/CLAIM_TABLE.md,UNKNOWN,substrate-only replacement claims occurring naturally,,,,,,,future-event/modification condition; no reading obtainable from existing named material,,0
uninstrumented,UNI_127,uninstrumented/CLAIM_TABLE.md,UNKNOWN,the two operations turning out to be one,,,,,,,judgment-shaped predicate; no procedure or quantity named,,0
uninstrumented,UNI_128,uninstrumented/CLAIM_TABLE.md,MEASURED,"a dependency trace, or a reason one is not the right instrument","presence of a dependency trace, or a stated reason one is not the right instrument",boolean present/absent,inspect the named artifact,,,,,named artifact,0
uninstrumented,UNI_129,uninstrumented/CLAIM_TABLE.md,MEASURED,a stated source and inclusion rule,presence of a stated source and inclusion rule,boolean present/absent,inspect the named doc,,,,,named artifact,0
uninstrumented,UNI_130,uninstrumented/CLAIM_TABLE.md,UNKNOWN,the two uses turning out to be one sense,,,,,,,judgment-shaped predicate; no procedure or quantity named,,0
uninstrumented,UNI_131,uninstrumented/CLAIM_TABLE.md,UNKNOWN,"the refusal returning, or a stated reason it is redundant",,,,,,,future-event/modification condition; no reading obtainable from existing named material,,0
uninstrumented,UNI_132,uninstrumented/CLAIM_TABLE.md,UNKNOWN,the interest direction resolving one way,,,,,,,future-event/modification condition; no reading obtainable from existing named material,,0
uninstrumented,UNI_133,uninstrumented/CLAIM_TABLE.md,UNKNOWN,"a third variant, or one collapsing into the other",,,,,,,future-event/modification condition; no reading obtainable from existing named material,,0
uninstrumented,UNI_134,uninstrumented/CLAIM_TABLE.md,MEASURED,"the separator being corrected, or `energy_english` becoming a path","presence of energy_english as a path, or corrected separator",boolean present/absent,list repo tree / inspect citations,,,,,two branches; one is named-artifact arrival,0
uninstrumented,UNI_135,uninstrumented/CLAIM_TABLE.md,MEASURED,a confidence column on the stage table,presence of a confidence column on the stage table,boolean present/absent,inspect the stage table,,,,,named artifact,0
