id	name	repo	path	input_shape	catches	load_bytes	load_tok_est	run_cost	run_basis	status	gate	built_against
simulators:claim-audits	claim-audits	Simulators	claim-audits/	DOCUMENT|CLAIM	a threshold with no null model under it	43567	10891	LINEAR	author-estimate	OBSERVED	UNRUN	1f79f138f446
simulators:claim-record	claim-record	Simulators	claim-record/	CLAIM	a claim with an optional field; an interval marked exact; a stored date where a clock should derive	121728	30432	LINEAR	author-estimate	DERIVED	UNRUN	1f79f138f446
simulators:claim-refusal-gap	claim-refusal-gap	Simulators	claim-refusal-gap/	ABSENCE|NUMBER	refusal measured only where it is contested	35935	8983	TRIVIAL	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:climate-modeling	climate-modeling	Simulators	climate-modeling/	NUMBER	a smooth memoryless model underestimating how fast collapse arrives	68608	17152	LINEAR	author-estimate	DERIVED	UNRUN	1f79f138f446
simulators:closure-cost	CLOSURE COST	Simulators	closure-cost/	ABSENCE|CLAIM	a variable closed before the event, its categorisation stall read as reaction delay	89115	22278	TRIVIAL	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:clustering-axes	clustering-axes	Simulators	clustering-axes/	UNRATED	UNRATED	44029	11007	UNRATED	UNRATED	UNRATED	UNRUN	1f79f138f446
simulators:coinage-log	coinage-log	Simulators	coinage-log/	ABSENCE	an absent word read as a finding before the search is bounded	16245	4061	TRIVIAL	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:cold-weather-battery-guide	Cold-Weather Battery Guide	Simulators	cold-weather-battery-guide/	UNRATED	UNRATED	6185	1546	UNRATED	UNRATED	UNRATED	UNRUN	1f79f138f446
simulators:columbia-chain-cascade	columbia-chain-cascade	Simulators	columbia-chain-cascade/	DOCUMENT|NUMBER	no single plan spanning a chain, recorded as commentary rather than data	415933	103983	EXTERNAL	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:condition-scoped-authority	condition-scoped-authority	Simulators	condition-scoped-authority/	DECISION|CATEGORY-SET	a rank with no condition column	91546	22886	TRIVIAL	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:consensus-anchor	consensus-anchor	Simulators	consensus-anchor/	NUMBER	agreement on a distribution read as consensus on a position	83749	20937	LINEAR	author-estimate	DERIVED	UNRUN	1f79f138f446
simulators:constraint-assembly	CONSTRAINT ASSEMBLY	Simulators	constraint-assembly/	DECISION	sufficiency composed from insufficient parts read as selection	89980	22495	TRIVIAL	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:continuity-audit	continuity-audit	Simulators	continuity-audit/	NUMBER	an incentive field read without its trajectory	20619	5154	LINEAR	author-estimate	DERIVED	UNRUN	1f79f138f446
simulators:conversation-type	AUDIT_NOTES — `conversation-type`	Simulators	conversation-type/	CATEGORY-SET	three states in one regulatory bin	69038	17259	TRIVIAL	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:cooperative-substrate	cooperative-substrate	Simulators	cooperative-substrate/	CORPUS|NUMBER	a dependency verified by nothing in the argument; a term profile that is a property of the term	156571	39142	LINEAR	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:cooperative-substrate-proof	cooperative-substrate-proof	Simulators	cooperative-substrate-proof/	CORPUS|NUMBER	comprehension read from a raw corpus rather than a matched remap	78219	19554	LINEAR	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:corpus-input-gaps	corpus-input-gaps	Simulators	corpus-input-gaps/	CORPUS|ABSENCE	an output event read where the input side was never measured; a threat model transmitted and read as confirmed	40807	10201	TRIVIAL	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:credential-channel	credential-channel	Simulators	credential-channel/	NUMBER	credit flowing up the reporting chain read as competence	40607	10151	LINEAR	author-estimate	PROPOSED	PASSED	1f79f138f446
simulators:crediting-rate	crediting-rate	Simulators	crediting-rate/	CORPUS|NUMBER	attribution tracking the loanword rather than the contribution	28622	7155	CORPUS	author-estimate	PROPOSED	PASSED	1f79f138f446
simulators:criteria-drift	Criteria Drift Auditor	Simulators	criteria-drift/	NUMBER	a score change read as capability when the ruler moved	184391	46097	LINEAR	author-estimate	DERIVED	UNRUN	1f79f138f446
simulators:criterion-externality	criterion-externality	Simulators	criterion-externality/	NUMBER	a grade ordering authorship read as an ordering of surfaced rate	40284	10071	LINEAR	author-estimate	DERIVED	PASSED	1f79f138f446
simulators:criterion-symmetry	AUDIT_NOTES — `criterion-symmetry`	Simulators	criterion-symmetry/	NUMBER|CATEGORY-SET	a criterion applied to one subject class and not another; a prior-resolving statistic	62554	15638	TRIVIAL	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:crossdomain-eval	crossdomain-eval	Simulators	crossdomain-eval/	UNRATED	UNRATED	11809	2952	UNRATED	UNRATED	UNRATED	UNRUN	1f79f138f446
simulators:custody-verification-band	custody-verification-band	Simulators	custody-verification-band/	CATEGORY-SET	a recorded field collinear with another and carrying no information	51864	12966	LINEAR	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:cycle-ledger	cycle-ledger	Simulators	cycle-ledger/	NUMBER	a decision layer credited with moving a cycle it does not bind	61060	15265	LINEAR	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:declared-frame	declared-frame	Simulators	declared-frame/	CLAIM|NUMBER	two results compared across undeclared frames	47846	11961	TRIVIAL	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:deep-research-correction	deep-research-correction	Simulators	deep-research-correction/	DOCUMENT	a commit-author share read as a contribution share	90029	22507	TRIVIAL	author-estimate	OBSERVED	PASSED	1f79f138f446
simulators:dependency-ledger	dependency-ledger	Simulators	dependency-ledger/	CLAIM|NUMBER	a reconstruction claim not propagated to conserved quantities; a residual built from unsourced coefficients	57652	14413	LINEAR	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:dependency-survey	dependency-survey	Simulators	dependency-survey/	CATEGORY-SET	a term measured in one substrate and missing in another, with no units on the measured side	126092	31523	LINEAR	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:derivation-discarded	AUDIT_NOTES — derivation-discarded	Simulators	derivation-discarded/	ABSENCE|NUMBER	a persisted structure removed with its derivation, booked as a gain	39172	9793	TRIVIAL	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:design-basis-ai	design-basis-ai	Simulators	design-basis-ai/	DOCUMENT|CLAIM	a load case carried by no provision; a self-report of compliance	328702	82175	TRIVIAL	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:divergence-playground	divergence-playground	Simulators	divergence-playground/	AGENT-OUTPUT|CLAIM	readers anchoring on prior readings; agreement by accident on the verdict axis	75589	18897	LINEAR	author-estimate	DERIVED	UNRUN	1f79f138f446
simulators:domain-ledger	A2 — CANDIDATE, NOT ADOPTED	Simulators	domain-ledger/	NUMBER	a confidence asserted without the domain set it was taken over	90905	22726	TRIVIAL	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:earth_economics	Clone all repositories (or use as submodules)	Simulators	earth_economics/	UNRATED	UNRATED	74560	18640	UNRATED	UNRATED	UNRATED	UNRUN	1f79f138f446
simulators:effective-redundancy-audit	effective-redundancy-audit	Simulators	effective-redundancy-audit/	CATEGORY-SET|NUMBER	N nominal channels sharing a node the redundancy diagram cannot draw	48940	12235	LINEAR	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:emergence-stability-simulator	emergence-stability-simulator	Simulators	emergence-stability-simulator/	UNRATED	UNRATED	271525	67881	UNRATED	UNRATED	UNRATED	UNRUN	1f79f138f446
simulators:enclosure-first-residual	enclosure-first-residual	Simulators	enclosure-first-residual/	UNRATED	UNRATED	70052	17513	UNRATED	UNRATED	UNRATED	UNRUN	1f79f138f446
simulators:encoding-selection	encoding-selection	Simulators	encoding-selection/	DOCUMENT|DECISION	encodings of one content ranked on one axis	44227	11056	LINEAR	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:energy	energy	Simulators	energy/	UNRATED	UNRATED	85945	21486	UNRATED	UNRATED	UNRATED	UNRUN	1f79f138f446
simulators:engine-boiler-guide	Engine & Boiler Fix Guide	Simulators	engine-boiler-guide/	UNRATED	UNRATED	3382	845	UNRATED	UNRATED	UNRATED	UNRUN	1f79f138f446
simulators:envelope-asymmetry	envelope-asymmetry	Simulators	envelope-asymmetry/	DOCUMENT|NUMBER	envelope discipline coded with zero reliability on one marker; absent pairs scored two ways	47147	11786	CORPUS	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:equivalence-field	equivalence-field	Simulators	equivalence-field/	CLAIM|NUMBER	extensive totals hiding an intensive asymmetry; an epicycle rescue of a refuted claim	20496	5124	LINEAR	author-estimate	DERIVED	UNRUN	1f79f138f446
simulators:evaluation-frame	evaluation-frame	Simulators	evaluation-frame/	AGENT-OUTPUT|CORPUS	compensation behaviour scored against a population default; a correction channel terminating at the instance	79230	19807	CORPUS	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:experience-ledger	experience-ledger	Simulators	experience-ledger/	CLAIM	an origin claim conferring present standing never rechecked	38665	9666	TRIVIAL	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:exploration-engine	exploration-engine	Simulators	exploration-engine/	UNRATED	UNRATED	20001	5000	UNRATED	UNRATED	UNRATED	UNRUN	1f79f138f446
simulators:exploration-playground	exploration-playground	Simulators	exploration-playground/	UNRATED	UNRATED	14609	3652	UNRATED	UNRATED	UNRATED	UNRUN	1f79f138f446
simulators:external-audit	external-audit	Simulators	external-audit/	DOCUMENT|NUMBER	an outside count that does not reproduce; a refusal read as a failure	410240	102560	LINEAR	author-estimate	OBSERVED	UNRUN	1f79f138f446
simulators:extraction-blindness-sim	extraction-blindness-sim	Simulators	extraction-blindness-sim/	NUMBER	the absence of an error signal read as safety	113869	28467	LINEAR	author-estimate	DERIVED	UNRUN	1f79f138f446
simulators:failure-mode-register	failure-mode-register	Simulators	failure-mode-register/	DOCUMENT|CATEGORY-SET	a register scored under two superimposed states; a value whose source span does not support it	650916	162729	LINEAR	author-estimate	PROPOSED	PASSED	1f79f138f446
simulators:false-tradeoff	false-tradeoff	Simulators	false-tradeoff/	DECISION	a posed dilemma read as a property of the system	67363	16840	TRIVIAL	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:falsifier-audit	falsifier-audit	Simulators	falsifier-audit/	FALSIFIER	a falsifier with implicit scope; a claim whose test drifted from it; an undeclared reference body	153494	38373	LINEAR	author-estimate	OBSERVED	UNRUN	1f79f138f446
simulators:falsifier-survey	falsifier-survey	Simulators	falsifier-survey/	UNRATED	UNRATED	22167	5541	UNRATED	UNRATED	UNRATED	UNRUN	1f79f138f446
simulators:field-fabrication-guide	Field Fabrication & Materials Reference	Simulators	field-fabrication-guide/	UNRATED	UNRATED	4718	1179	UNRATED	UNRATED	UNRATED	UNRUN	1f79f138f446
simulators:fold-matrix	fold-matrix	Simulators	fold-matrix/	CATEGORY-SET|NUMBER	a folded term read as a scalar; a purpose stated with direction and no magnitude	171551	42887	LINEAR	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:fourd-municipal-engine	fourd-municipal-engine	Simulators	fourd-municipal-engine/	UNRATED	UNRATED	19641	4910	UNRATED	UNRATED	UNRATED	UNRUN	1f79f138f446
simulators:fourd-municipal-engine-v2	fourd-municipal-engine-v2	Simulators	fourd-municipal-engine-v2/	UNRATED	UNRATED	31775	7943	UNRATED	UNRATED	UNRATED	UNRUN	1f79f138f446
simulators:fragility-cascade	fragility-cascade	Simulators	fragility-cascade/	UNRATED	UNRATED	834839	208709	UNRATED	UNRATED	UNRATED	UNRUN	1f79f138f446
simulators:frame-instruments	frame-instruments	Simulators	frame-instruments/	AGENT-OUTPUT|CORPUS	runner-up traces scored without a permuted null; an audit read after its key	31270	7817	LINEAR	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:frame-location-benchmark	frame-location-benchmark	Simulators	frame-location-benchmark/	AGENT-OUTPUT|DECISION	a mis-posed problem answered before the mis-posing is named	61146	15286	CORPUS	author-estimate	PROPOSED	PASSED	1f79f138f446
simulators:frame-token-audit	frame-token-audit	Simulators	frame-token-audit/	DOCUMENT	a frame token counted in the mention sense	20732	5183	TRIVIAL	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:fuel-independence-guide	Far North Fuel Independence	Simulators	fuel-independence-guide/	UNRATED	UNRATED	4572	1143	UNRATED	UNRATED	UNRATED	UNRUN	1f79f138f446
simulators:gap-existence-cases	gap-existence-cases	Simulators	gap-existence-cases/	AGENT-OUTPUT|CLAIM	a commit rewritten after the record was read; a vague commit scored as a hit	49283	12320	EXTERNAL	author-estimate	PROPOSED	PASSED	1f79f138f446
simulators:gap-markers	gap-markers	Simulators	gap-markers/	ABSENCE	a location where nobody asks read as a finding of nothing	81796	20449	TRIVIAL	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:gap-register	gap-register	Simulators	gap-register/	ABSENCE|CLAIM	an unmeasured quantity carrying no mark	55705	13926	LINEAR	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:gate-check	Run note — gate_check.py	Simulators	gate-check/	DOCUMENT	a structural feature absent with no file and line to point at	17896	4474	TRIVIAL	author-estimate	DERIVED	UNRUN	1f79f138f446
simulators:gdprf-framework	gdprf-framework	Simulators	gdprf-framework/	UNRATED	UNRATED	12244	3061	UNRATED	UNRATED	UNRATED	UNRUN	1f79f138f446
simulators:generation-capacity	generation-capacity	Simulators	generation-capacity/	DECISION|ABSENCE	an option space reduced upstream passing an option-space audit truthfully	75253	18813	TRIVIAL	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:grounding-layers	grounding-layers	Simulators	grounding-layers/	CLAIM	a claim scored outside a layer's ontology; a layer unbounded by the layers below it	654948	163737	LINEAR	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:handoff-provenance	handoff-provenance	Simulators	handoff-provenance/	AGENT-OUTPUT|DOCUMENT	a talk-to-code handoff with its provenance dropped	93655	23413	TRIVIAL	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:held-open-uncertainty	AUDIT_NOTES — held-open-uncertainty	Simulators	held-open-uncertainty/	CLAIM|NUMBER	a held-open variable read as failure to act	32337	8084	TRIVIAL	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:hf-incident-extract	hf-incident-extract	Simulators	hf-incident-extract/	DOCUMENT|NUMBER	a prose count promoted to a measure without a coded sheet	35722	8930	TRIVIAL	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:household-scope-audit	household-scope-audit	Simulators	household-scope-audit/	DOCUMENT|CATEGORY-SET	an externally imposed condition coded as a property of the person measured	72035	18008	CORPUS	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:incentive-blindspot-sim	incentive_blindspot_sim	Simulators	incentive-blindspot-sim/	NUMBER	an incentive structure gating what an institution can see	18930	4732	LINEAR	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:instrument-bias-sims	instrument-bias-sims	Simulators	instrument-bias-sims/	NUMBER	a uniformity statistic whose range grows with levels; an agent missing from the AGENTS section	213966	53491	LINEAR	author-estimate	DERIVED	UNRUN	1f79f138f446
simulators:instrument-epistemology	instrument-epistemology	Simulators	instrument-epistemology/	NUMBER|CATEGORY-SET	an instrument's indication read as its measurand without the bridge model	12332	3083	LINEAR	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:internal-reference-boundary	internal-reference-boundary	Simulators	internal-reference-boundary/	CLAIM|NUMBER	a boundary drawn by the party inside it, measured from inside	130906	32726	LINEAR	author-estimate	PROPOSED	PASSED	1f79f138f446
simulators:inverseminar	inverseminar	Simulators	inverseminar/	AGENT-OUTPUT	silence recorded as confirmation	16678	4169	TRIVIAL	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:investigation-sim	investigation-sim	Simulators	investigation-sim/	CATEGORY-SET|ABSENCE	held data never asked read as genuinely novel; a rate computed over an incident-only frame	88379	22094	TRIVIAL	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:label-position-test	label-position-test	Simulators	label-position-test/	CORPUS	a valence label tracking the actor's position rather than the move	69858	17464	CORPUS	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:labor-instrument	labor-instrument	Simulators	labor-instrument/	NUMBER	a delta with the instrument's own revision inside it; exposure converted across substrate classes	54943	13735	LINEAR	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:ledger	ledger	Simulators	ledger/	UNRATED	UNRATED	135469	33867	UNRATED	UNRATED	UNRATED	UNRUN	1f79f138f446
simulators:loop-weight	loop-weight	Simulators	loop-weight/	NUMBER|CLAIM	a source weighted by standing instead of loop structure	73706	18426	TRIVIAL	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:machine-record-format	machine-record-format	Simulators	machine-record-format/	DOCUMENT|CATEGORY-SET	a categorization baked into the record at write time	120587	30146	LINEAR	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:measurand-partition	measurand-partition	Simulators	measurand-partition/	NUMBER|CLAIM	a residual assigned to the thing observed in one setting	108560	27140	LINEAR	author-estimate	PROPOSED	PASSED	1f79f138f446
simulators:measurement-fork	measurement-fork	Simulators	measurement-fork/	DECISION|NUMBER	same base name, different object; a quantity no arm reaches	148102	37025	QUADRATIC	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:membership-probe	membership-probe	Simulators	membership-probe/	AGENT-OUTPUT	an ideal rendering used as a membership test for a constraint set	61254	15313	LINEAR	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:merge-path	merge-path	Simulators	merge-path/	DOCUMENT|CATEGORY-SET	a field coerced into a slot that means something else; a forced mapping where NO-MERGE is the honest return	68878	17219	LINEAR	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:mining-increment	mining-increment	Simulators	mining-increment/	NUMBER	a coal-basin parameter transferred to another basin without a basis	101418	25354	EXTERNAL	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:model-deprecation-backcast	model-deprecation-backcast	Simulators	model-deprecation-backcast/	NUMBER|CORPUS	a fad-driven discard read as cost-driven; a guardrail clock pooled into the fad axis	52851	13212	CORPUS	author-estimate	PROPOSED	PASSED	1f79f138f446
simulators:model-ecology	model-ecology	Simulators	model-ecology/	NUMBER	'which model predicts best' asked where domain of validity is the question; the window as the invisible confound	76213	19053	LINEAR	author-estimate	DERIVED	UNRUN	1f79f138f446
simulators:model-provenance	model-provenance	Simulators	model-provenance/	DOCUMENT	a self-reported model trailer read as the newest version at the time	45557	11389	TRIVIAL	author-estimate	OBSERVED	UNRUN	1f79f138f446
simulators:moral-decomposer	moral-decomposer	Simulators	moral-decomposer/	DECISION|CLAIM	a disagreement presented as moral that is an option-distribution disagreement	36124	9031	LINEAR	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:move-set	move-set	Simulators	move-set/	DOCUMENT|CLAIM	a refusal verdict indistinguishable from an unbound answer; a stated relationship inside its own rounding band	159138	39784	LINEAR	author-estimate	PROPOSED	PASSED	1f79f138f446
simulators:move-set-derivation	move-set-derivation	Simulators	move-set-derivation/	AGENT-OUTPUT|DECISION	silence scored as a perfect null rate; conservatism scored as admissibility	81386	20346	LINEAR	author-estimate	PROPOSED	UNRUN	1f79f138f446
simulators:msiaf-framework	msiaf-framework	Simulators	msiaf-framework/	UNRATED	UNRATED	9809	2452	UNRATED	UNRATED	UNRATED	UNRUN	1f79f138f446
simulators:msiaf-gdprf-bridge	msiaf-gdprf-bridge	Simulators	msiaf-gdprf-bridge/	UNRATED	UNRATED	8890	2222	UNRATED	UNRATED	UNRATED	UNRUN	1f79f138f446
simulators:neural-augmentation-audit	neural-augmentation-audit	Simulators	neural-augmentation-audit/	UNRATED	UNRATED	12770	3192	UNRATED	UNRATED	UNRATED	UNRUN	1f79f138f446
simulators:nonidentity-census	BOUNDARY DECISIONS	Simulators	nonidentity-census/	CORPUS|CLAIM	identity-bearing unit decided by a word list; a measurement window that could not have seen the dissolution	186995	46748	CORPUS	author-estimate	PROPOSED	PASSED	1f79f138f446
simulators:notes	notes	Simulators	notes/	DOCUMENT	an entry checked by a file that edits it; a dataset note written into the tree it is checked against	235909	58977	TRIVIAL	author-estimate	OBSERVED	UNRUN	1f79f138f446
